,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
307,CHEMBOND,Chembond Chemicals Ltd,EQ,20-NOV-2019,5,1,INE995D01025,5
308,CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,10,1,INE03YM01018,10
309,CHEMFAB,Chemfab Alkalis Limited,EQ,25-APR-2018,10,1,INE783X01023,10
310,CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021,5,1,INE488A01050,5
311,CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,10,1,INE178A01016,10
312,CHEVIOT,Cheviot Company Limited,EQ,20-JUN-2022,10,1,INE974B01016,10
313,CHOICEIN,Choice International Limited,EQ,08-APR-2022,10,1,INE102B01014,10
314,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2,1,INE121A01024,2
315,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1,1,INE149A01033,1
316,CIGNITITEC,Cigniti Technologies Limited,EQ,13-OCT-2014,10,1,INE675C01017,10
317,CINELINE,Cineline India Limited,EQ,13-JUN-2012,5,1,INE704H01022,5
318,CINEVISTA,Cinevista Limited,EQ,02-MAY-2000,2,1,INE039B01026,2
319,CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2
320,CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021,1,1,INE227W01023,1
321,CLEDUCATE,CL Educate Limited,EQ,31-MAR-2017,5,1,INE201M01029,5
322,CLNINDIA,Clariant Chemicals (India) Limited,EQ,14-JUN-1995,10,1,INE492A01029,10
323,CLSEL,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021,2,1,INE419D01026,2
324,CMICABLES,CMI Limited,EQ,29-NOV-2016,10,1,INE981B01011,10
325,CMSINFO,CMS Info Systems Limited,EQ,31-DEC-2021,10,1,INE925R01014,10
326,COALINDIA,Coal India Limited,EQ,04-NOV-2010,10,1,INE522F01014,10
327,COASTCORP,Coastal Corporation Limited,EQ,08-OCT-2021,10,1,INE377E01016,10
328,COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,10,1,INE704P01017,10
329,COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-NOV-2015,10,1,INE335K01011,10
330,COFORGE,Coforge Limited,EQ,30-AUG-2004,10,1,INE591G01017,10
331,COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1,1,INE259A01022,1
332,COMPINFO,Compuage Infocom Limited,EQ,07-JUL-2016,2,1,INE070C01037,2
333,COMPUSOFT,Compucom Software Limited,EQ,02-MAR-2012,2,1,INE453B01029,2
334,CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5,1,INE111A01025,5
335,CONFIPET,Confidence Petroleum India Limited,EQ,13-JUN-2019,1,1,INE552D01024,1
336,CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10,1,INE025A01027,10
337,CONTROLPR,Control Print Limited,EQ,24-JUN-2016,10,1,INE663B01015,10
338,CORALFINAC,Coral India Finance & Housing Limited,EQ,25-MAR-1996,2,1,INE558D01021,2
339,CORDSCABLE,Cords Cable Industries Limited,EQ,13-FEB-2008,10,1,INE792I01017,10
340,COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1,1,INE169A01031,1
341,COSMOFIRST,COSMO FIRST LIMITED,EQ,25-MAY-1995,10,1,INE757A01017,10
342,COUNCODOS,Country Condo's Limited,EQ,22-JAN-2009,1,1,INE695B01025,1
343,CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,5,1,INE00LO01017,5
344,CREATIVE,Creative Newtech Limited,EQ,05-AUG-2019,10,1,INE985W01018,10
345,CREATIVEYE,Creative Eye Limited,EQ,20-DEC-2000,5,1,INE230B01021,5
346,CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10,1,INE741K01010,10
347,CREST,Crest Ventures Limited,EQ,27-DEC-2006,10,1,INE559D01011,10
348,CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,1,INE007A01025,1
349,CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2,1,INE299U01018,2
350,CROWN,Crown Lifters Limited,EQ,08-FEB-2022,10,1,INE491V01019,10
351,CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,10,1,INE679A01013,10
352,CSLFINANCE,CSL Finance Limited,EQ,21-JUL-2022,10,1,INE718F01018,10
353,CTE,Cambridge Technology Enterprises Limited,EQ,07-FEB-2007,10,1,INE627H01017,10
354,CUB,City Union Bank Limited,EQ,25-AUG-1998,1,1,INE491A01021,1
355,CUBEXTUB,Cubex Tubings Limited,EQ,24-APR-1996,10,1,INE144D01012,10
356,CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2,1,INE298A01020,2
357,CUPID,Cupid Limited,EQ,16-SEP-2016,10,1,INE509F01011,10
358,CYBERMEDIA,Cyber Media (India) Limited,EQ,10-JUN-2005,10,1,INE278G01037,10
359,CYBERTECH,Cybertech Systems And Software Limited,EQ,27-JAN-1999,10,1,INE214A01019,10
360,CYIENT,Cyient Limited,EQ,30-SEP-1998,5,1,INE136B01020,5
361,DAAWAT,LT Foods Limited,EQ,18-DEC-2006,1,1,INE818H01020,1
362,DABUR,Dabur India Limited,EQ,28-APR-1999,1,1,INE016A01026,1
363,DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2,1,INE00R701025,2
364,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996,2,1,INE495A01022,2
365,DAMODARIND,Damodar Industries Limited,EQ,04-JUL-2016,5,1,INE497D01022,5
366,DANGEE,Dangee Dums Limited,EQ,13-NOV-2020,1,1,INE688Y01022,1
367,DATAMATICS,Datamatics Global Services Limited,EQ,07-MAY-2004,5,1,INE365B01017,5
368,DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021,2,1,INE0IX101010,2
369,DBCORP,D.B.Corp Limited,EQ,06-JAN-2010,10,1,INE950I01011,10
370,DBL,Dilip Buildcon Limited,EQ,11-AUG-2016,10,1,INE917M01012,10
371,DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10,1,INE0I3401014,10
372,DBREALTY,D B Realty Limited,EQ,24-FEB-2010,10,1,INE879I01012,10
373,DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-FEB-2012,2,1,INE921B01025,2
374,DCAL,Dishman Carbogen Amcis Limited,EQ,21-SEP-2017,2,1,INE385W01011,2
375,DCBBANK,DCB Bank Limited,EQ,27-OCT-2006,10,1,INE503A01015,10
376,DCI,Dc Infotech And Communication Limited,EQ,19-OCT-2022,10,1,INE0A1101019,10
377,DCM,DCM  Limited,EQ,29-MAR-1995,10,1,INE498A01018,10
378,DCMFINSERV,DCM Financial Services Limited,BE,21-MAY-1997,10,1,INE891B01012,10
379,DCMNVL,DCM Nouvelle Limited,EQ,16-JUL-2019,10,1,INE08KP01019,10
380,DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995,2,1,INE499A01024,2
381,DCMSRIND,DCM Shriram Industries Limited,EQ,24-DEC-2021,2,1,INE843D01027,2
382,DCW,DCW Limited,EQ,25-MAY-1995,2,1,INE500A01029,2
383,DECCANCE,Deccan Cements Limited,EQ,02-AUG-2007,5,1,INE583C01021,5
384,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10,1,INE501A01019,10
385,DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010,2,1,INE288B01029,2
386,DEEPENR,DEEP ENERGY RESOURCES LIMITED,BE,09-MAR-2010,10,1,INE677H01012,10
387,DEEPINDS,Deep Industries Limited,EQ,27-APR-2021,10,1,INE0FHS01016,10
388,DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1,1,INE148O01028,1
389,DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,28-JUN-2011,10,1,INE726L01019,10
390,DELTACORP,Delta Corp Limited,EQ,02-NOV-2007,1,1,INE124G01033,1
391,DELTAMAGNT,Delta Manufacturing Limited,EQ,18-OCT-1995,10,1,INE393A01011,10
392,DEN,Den Networks Limited,EQ,24-NOV-2009,10,1,INE947J01015,10
393,DENORA,De Nora India Limited,EQ,07-AUG-1997,10,1,INE244A01016,10
394,DEVIT,Dev Information Technology Limited,EQ,15-FEB-2022,10,1,INE060X01018,10
395,DEVYANI,Devyani International Limited,EQ,16-AUG-2021,1,1,INE872J01023,1
396,DFMFOODS,DFM Foods Limited,EQ,29-DEC-2016,2,1,INE456C01020,2
397,DGCONTENT,Digicontent Limited,EQ,18-JUN-2019,2,1,INE03JI01017,2
398,DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10,1,INE041A01016,10
399,DHANBANK,Dhanlaxmi Bank Limited,EQ,01-APR-2004,10,1,INE680A01011,10
400,DHANI,Dhani Services Limited,EQ,02-APR-2008,2,1,INE274G01010,2
401,DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011,2,1,INE435G01025,2
402,DHARAMSI,The Dharamsi Morarji Chemical Company Limited,EQ,01-DEC-2021,10,1,INE505A01010,10
403,DHARSUGAR,Dharani Sugars & Chemicals Limited,BE,22-MAY-1996,10,1,INE988C01014,10
404,DHRUV,Dhruv Consultancy Services Limited,EQ,25-NOV-2021,10,1,INE506Z01015,10
405,DHUNINV,Dhunseri Investments Limited,EQ,18-MAR-2011,10,1,INE320L01011,10
406,DIAMONDYD,Prataap Snacks Limited,EQ,05-OCT-2017,5,1,INE393P01035,5
407,DICIND,DIC India Limited,EQ,30-AUG-1995,10,1,INE303A01010,10
408,DIGISPICE,DiGiSPICE Technologies Limited,EQ,27-MAY-2008,3,1,INE927C01020,3
409,DIL,Debock Industries Limited,EQ,31-MAR-2022,10,1,INE411Y01011,10
410,DISHTV,Dish TV India Limited,EQ,18-APR-2007,1,1,INE836F01026,1
411,DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2
412,DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2,1,INE935N01020,2
413,DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2
414,DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009,2,1,INE250K01012,2
415,DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10,1,INE192R01011,10
416,DNAMEDIA,Diligent Media Corporation Limited,EQ,11-DEC-2017,1,1,INE016M01021,1
417,DODLA,Dodla Dairy Limited,EQ,28-JUN-2021,10,1,INE021O01019,10
418,DOLATALGO,Dolat Algotech Limited,EQ,19-AUG-2019,1,1,INE966A01022,1
419,DOLLAR,Dollar Industries Limited,EQ,21-APR-2017,2,1,INE325C01035,2
420,DONEAR,Donear Industries Limited,EQ,20-DEC-2006,2,1,INE668D01028,2
